name,first_name
Eric Cartman,Cartman
Kenny McCormick,Kenny
Kyle Broflovski,Kyle
Stan Marsh,Stan
A.W.E.S.O.M.-O 4000,A.W.E.S.O.M.-O
Abraham Lincoln,Abraham
Adam Sandler,Adam
Adolf Hitler,Adolf
Air Israel Handler,Air Israel Handler
Airsoft Armory Salesman,Airsoft Armory Salesman
Al Gore,Al
Al-Qaeda,Al-Qaeda
Al Pacino,Al
Alan the Security Guard,Alan the Security Guard
Alanis Morissette,Alanis
Alejandro White,Alejandro
Alex Hart,Alex
Alexa,Alexa
Alexandra Cartman,Alexandra
Alinicia,Alinicia
Allen Varcas,Allen
Allie Nelson,Allie
Alton Brown,Alton
America's Most Wanted Actors,
Anderson Cooper,Anderson
Andrew Sutherland,Andrew
Annie Bartlett,Annie
Annie Knitts,Annie
Anthony Fauci,Anthony
Anti-Christ,Anti-Christ
Apple Replacement Friend,Apple Replacement Friend
Aunt Jemima,Aunt
Baahir Hassan Abdul Hakeem,Baahir Hassan Abdul Hakeem
Bat,Bat
Baby Cows,Baby
Barack Obama,Barack
Barbara Garthunk,Barbara
Barbra Streisand,Barbra
Bart Simpson,Bart
Bartender,Bartender
Bebe Stevens,Bebe
Ben Affleck,Ben
Big Gay Al,Big Gay Al
Big Mesquite Murph,Big Mesquite Murph
Bigfoot Researchers,Bigfoot
Bill Allen,Bill
Bill Clinton,Bill
Bill Cosby (BSM-471),
Bill Denkins,Bill
Bill Donohue,Bill
Bill Gates,Bill
Bill Owens,Bill
Billy Mays,Billy
Billy Turner,Billy
Birthday Party Parents,Birthday Party Parents
Black Panther,Black
Bono,Bono
Boy with Green Shirt,Boy with Green Shirt
Boy with Red Shirt,Boy with Red Shirt
Boy with Red Shirt and Blue Pants,Boy with Red Shirt and Blue Pants
Bradley Biggle,Bradley
Brandon Carlile,Brandon
Brian (Sea Park Announcer),
Bridon Gueermo,Bridon
Brimmy,Brimmy
Britney Spears,Britney
Brobee,Brobee
Budd Stotch,Budd
Buddha,Buddha
Bully Girls,Bully
Butters' Friends,
Butters' Kissing Company,
Butters Stotch,Butters
Caitlyn Jenner,Caitlyn
Cameron,Cameron
Canadian Minister of Sports,Canadian Minister of Sports
Canadian Reporter,Canadian
Carol McCormick,Carol
Cartman Impostor,Cartman
Cartman's Father (Unaired Pilot),
Cartman's New Bros,
Cartman's Unnamed Relatives,
Catholic Cleanup Crew,Crew
Charles Kincade,Charles
Charlie Brown,Charlie
Charlie Manson,Charlie
Charlie Rose,Charlie
Charlotte,Charlotte
Charlotte's Brother,
Charlotte's Grandmother,
Charlotte's Mother,
Charlotte's Sister,
Cher,Cher
Chief Joe,Chief
Chief Scientist,Chief
Chinese Clubbers,Chinese
Chinese Court Judges,Chinese Court Judges
Chinese Customs Officers,Chinese Customs Officers
Christophe,Christophe
Christopher Wallace,Christopher
Chuck Chuck,Chuck
Cinderella,Cinderella
Clark Malkinson,Clark
Classi,Classi
Cleo Broflovski,Cleo
Clyde Donovan,Clyde
Clyde Frog,Clyde
Cock Magic Promoter,Cock Magic Promoter
Coon and Friends,Coon and Friends
Corey Lanskin,Corey
Count Ravyncrowe,Count
Cows,Cows
CPS Agents,CPS
Crab People,Crab
Crack Babies,Crack
Craig Tucker,Craig
Craig's Gang,
Cthulhu,Cthulhu
Cupid Me,Cupid
Damien Thorn,Damien
Dan Snyder,Dan
Darth Chef,Chef
David Blaine,David
David Carradine,David
David Rodriguez,David
David Sawitzky,David
David Weatherhead,David
Davin Miller,Davin
Death,Death
Delivery Express Man,Delivery Express Man
Dental Floss,Dental
Denver Archbishop,Denver
Denver Broncos,Denver
Denver Nuggets,Denver
Detective Jarvis,Detective
Diane Choksondik,Diane
Dick Cheney,Dick
"DJ (""Korn's Groovy Pirate Ghost Mystery"")",
DMV Workers,DMV
DogPoo Petuski,DogPoo
Douchebag,Douchebag
Dougie O'Connell,
Douglas,Douglas
Dr. Alphonse Mephesto,Mephesto
Dr. Carroll,Carroll
Dr. Chinstrap,Chinstrap
Dr. David Nelson,Nelson
Dr. Doctor,Doctor
Dr. Gauche,Gauche
Dr. Matlock,Matlock
Dr. Phillips,Phillips
Edgar Allan Poe,Edgar Allan Poe
Elderly Woman in Wheelchair,Elderly Woman in Wheelchair
Elise Garrett,Elise
Ellen DeGeneres,Ellen
Ellen Malkinson,Ellen
Elon Musk,Elon
Elton John,Elton
Elvin Cartman,Elvin
Elvis Presley,Elvis
Emperor Akihito,Emperor
Ethiopian Tribe,Ethiopian
Fat Abbott,Fat
Fat Bob,Fat
Father Maxi,Maxi
Filmore Anderson,Filmore
Fingerbang,Fingerbang
Fleetwood Mac,Fleetwood
Flo Kimble,Flo
Flora Larsen,Flora
Florence Cartman,Florence
Fluffy,Fluffy
Fonics Monkey,Fonics
Foofa,Foofa
Foreman,Foreman
Fosse McDonald,Fosse
Four-Assed Monkey,Four-Assed
Francis,Francis
Frank Fun,Frank
Franz,Franz
Fred Cartman,Fred
Freddy Krueger,Freddy
Funnybot,Funnybot
Future Butters,Future
Future Kyle's Kids,
Future Stan,Future
"Gadnuk, Breaker of Worlds","Gadnuk, Breaker of Worlds"
Gary Harrison,Gary
Gavin Throttle,Gavin
Geldon,Geldon
General Revaur,General
George R. R. Martin,George R. R. Martin
George W. Bush,George W. Bush
George Zimmerman,George
Gerald Broflovski,Gerald
Giant Douche,Giant
Ginger Cow,Ginger
Girl with Blonde Hair,Girl with Blonde Hair
Glen Dumont,Glen
Gobbles,Gobbles
God,God
Gordon Stoltski,Gordon
Goth Kids,Goth
Grandma Marsh,Grandma
Great-Great-Grandpa Marsh,Great-Great-Grandpa
Gregory,Gregory
Guinea Creatures,Guinea
Hackelm Cartman,Hackelm
Harriet Biggle,Harriet
Hardly Boys,Hardly
Harley Riders,Harley
Harold Cartman,Harold
Harrison Yates,Harrison
Harvey Brown,Harvey
Hazmat Workers,Hazmat
HBC Head of Programming,HBC Head of Programming
Heather Williams,Heather
Heidi Turner,Heidi
Henrietta Biggle,Henrietta
Herbert Garrison,Garrison
Hillary Clinton,Hillary
Hippies,Hippies
Hispanic Boy with Olive Vest,Hispanic Boy with Olive Vest
Hoffman and Turk Attorney,Hoffman and Turk Attorney
Hollywood Elites,Hollywood
Howard Cartman,Howard
HUMANCENTiPAD,HUMANCENTiPAD
Ike Broflovski,Ike
Immigrant Kids,Immigrant
Intergalactic Police,Intergalactic
Inuit,Inuit
ISIS,ISIS
Isla,Isla
J.J. Abrams,J.J.
Jack Tenorman,Jack
Jake Angeli,Jake
Jakovasaur,Jakovasaur
Jambu,Jambu
James (Build-A-Bear),
James Cameron,James
Jamie Oliver,Jamie
Jason White,Jason
Jay Cutler,Jay
Jay Leno,Jay
Jeff Bezos,Jeff
Jeff Corrigan,Jeff
Jeff White,Jeff
Jeffrey Maynard,Jeffrey
Jehovah's Witnesses,
Jenkins,Jenkins
Jennifer Lopez,Jennifer
Jenny Simons,Jenny
"Jerome ""Chef"" McElroy",Chef
Jerusalem News Correspondent,Jerusalem News Correspondent
Jesse Jackson,Jesse
Jesus Christ,Jesus
Jewpacabra,Jewpacabra
Jim Bob,Jim
Jimbo Kern,Jimbo
Jimmy Valmer,Jimmy
Job,Job
Joe and Teresa Giudice,Joe and Teresa Giudice
John Aspinal,John
John Edward,John
John Travolta,John
Jonas Brothers,Jonas
Jose Venezuela,Jose
Josh Cashner,Josh
Junichi Takiyama,Junichi
Justin Bieber,Justin
Justin Timberlake,Justin
Kanye West,Kanye
Karen McCormick,Karen
Kathie Lee Gifford,Kathie Lee Gifford
Katie Gelson,Katie
Keanu Reeves,Keanu
"Kelly (""Rainforest Shmainforest"")",
"Kelly (""Breast Cancer Show Ever"")",
Kenny's Cat,
Kevin McCormick,Kevin
Kevin Mephesto,Kevin
Kevin Stoley,Kevin
Kindergartners,Kindergartners
Kindergartner Girl with Brown Pigtails,Kindergartner Girl with Brown Pigtails
Kip Drordy,Kip
KIT-9,KIT-9
Kobe Bryant,Kobe
KOK-A-3,KOK-A-3
Kommunity Kidz,Kommunity
Ku Klux Klan,Ku Klux Klan
Kyle Schwartz,Kyle
La Resistance,La
Lamond,Lamond
Large-Breasted Woman,Large-Breasted
"Larry (""Grey Dawn"")",
Larry,Larry
Larry Feegan,Larry
Larry King,Larry
Laura Tucker,Laura
Lena Dunham,Lena
Lennart Bedrager,Lennart
Leonardo DiCaprio,Leonardo
Leslie,Leslie
Leslie Meyers,Leslie
Liane Cartman,Liane
Lieutenant Dawson,Lieutenant
Lil' Sheep,
Linda Black,Linda
Linda Stotch,Linda
Lisa Cartman,Lisa
Lizzy,Lizzy
Lola,Lola
Loogie,Loogie
Loogie's Associates,
Los Angeles Clippers,Los Angeles Clippers
Louis Handler,Louis
Mabel Cartman,Mabel
Mabel Gonzalez,Mabel
Magic Johnson,Magic
Mall Manager,Mall
Man with Brown Jacket,Man with Brown Jacket
Man with Green Coat,Man with Green Coat
Man with Orange Shirt,Man with Orange Shirt
ManBearPig,ManBearPig
Manny Martinez,Manny
Marcus,Marcus
Marcus Preston,Marcus
Mark Cotswolds,Mark
Mark the Security Guard,Mark the Security Guard
Mark Zuckerberg,Mark
Marklar,Marklar
Marvin Marsh,Marvin
Matt Damon,Matt
Matt Lauer,Matt
Maury Povich,Maury
Mayor McDaniels,Mayor
Mayor of Imaginationland,Mayor of Imaginationland
Mayor's Rival,
McNuggets,McNuggets
Mel Gibson,Mel
Mercedes,Mercedes
Michael,Michael
Michael Bay,Michael
Michael Deets,Michael
Michael Dorn,Michael
Michael Jackson,Michael
Michael Wilbon,Michael
Mickey Mouse,Mickey
Mike,Mike
Mike (Sea Park Announcer),
Mike Makowski,Mike
Millennials Against Canada,Millennials Against Canada
Millie Larsen,Millie
Miss Information,Miss
Mitch,Mitch
Mitch Conner,Mitch
Mitch Murphy,Mitch
Moop,Moop
Moorish Fighters,Moorish
Morgan Freeman,Morgan
Moses,Moses
Mothers Against Canada,Mothers Against Canada
Motivation Corp. Director,Motivation Corp. Director
Mountain Lion,Mountain
Mountain Lion Cubs,Mountain Lion Cubs
Mr. Adams,Adams
Mr. Billings,Billings
Mr. Conners,Conners
Mr. Derp,Derp
Mr. Garrett,Garrett
Mr. Hankey,Hankey
Mr. Hat,Hat
Mr. Kitty,Kitty
Mr. Mackey,Mackey
Mr. McArthur,Mcarthur
"Mr. Nelson (""Goobacks"")",
Mr. Rodriguez,Rodriguez
Mr. Service,Service
Mr. Slave,Slave
Mrs. Farnickle,Farnickle
Mrs. Handler,Handler
Mrs. Rodriguez,Rodriguez
Mrs. Streibel,Streibel
Mrs. Tenorman,Tenorman
Mrs. Testaburger,Testaburger
Mrs. Tweak,Tweak
Mrs. Zimmerman,Zimmerman
Ms. Ellen,Ellen
Ms. Stevens,Stevens
Ms. Stevenson,Stevenson
Muhammad,Muhammad
Muno,Muno
Murderin' Murphy,
Murphy,Murphy
Murrey Broflovski,Murrey
Mutant Turkeys,Mutant
Mysterion,Mysterion
National Security Agency,National Security Agency
Ned Gerblanski,Ned
Nelly,Nelly
Nelly's Mom,
Nelson Brown,Nelson
New York Boy with Blue Cap,New York Boy with Blue Cap
NFL Owners and Presidents,NFL Owners and Presidents
Nichole Daniels,Nichole
Nick Jabs,Nick
North American Man-Boy Love Association,North American Man-Boy Love Association
North American Marlon Brando Look-Alikes,North American Marlon Brando Look-Alikes
Nurse Gollum,Nurse
Nurse Williams,Nurse
Officer Barbrady,Barbrady
Old Cap,Old
Osama bin Laden,Osama bin Laden
PC Bros,Bros
PC Ohio State,State
PC Principal,Principal
P. Diddy,P.
Pablo,Pablo
Pandemic Specialists,Pandemic
Pangolin,Pangolin
Paris Hilton,Paris
Park County Pee-Wee Hockey Team,Park County Pee-Wee Hockey Team
Paul Watson,Paul
Peruvian Flute Band,Peruvian Flute Band
Pete,Pete
Pete Thelman,Pete
"Peter (""Chef's Chocolate Salty Balls"")",
Peter Mullen,Peter
Peter Panda,Peter
PewDiePie,PewDiePie
Phil and Josh,Phil and Josh
Phillip's Replacement,
Photographer,Photographer
Pi-Pi,Pi-Pi
Pi-Pi's Lifeguards,
Pi-Pi's Security Guards,
PigBearGirl,PigBearGirl
Pioneer Paul,Pioneer
Pip Pirrip,Pip
Plex,Plex
Pope Benedict XVI,Pope Benedict XVI
Porsche,Porsche
Possessed Stan Marsh,Possessed Stan Marsh
Princess Kenny,Princess
Principal Victoria,Principal
Professor Chaos,Professor
Professor Lamont,Professor
QAnon,QAnon
Quaid,Quaid
R. Kelly,R.
Randy Marsh,Randy
Randy's Friends,
Rebecca Cotswolds,Rebecca
Record Producer,Record
Red McArthur,Red
Redneck with Brown Shirt,Redneck with Brown Shirt
Rex,Rex
Richard Adler,Richard
Richard Dawkins,Richard
Richard Stamos,Richard
Richard Tweak,Richard
Rick,Rick
Rick and Susan Tyler,Rick and Susan Tyler
Rob Reiner,Rob
Rob Schneider,Rob
Robert Smith,Robert
Rosie O'Donnell,
Roy,Roy
Runaway Girls,Runaway
Ryan Ellis,Ryan
Saddam Hussein,Saddam
Sally Darson,Sally
Sally Struthers,Sally
Sally Turner,Sally
Sanctified,Sanctified
Santa Claus,Santa
Sarah Jessica Parker,Sarah Jessica Parker
Sarah McLachlan,Sarah
Sarah Valmer,Sarah
Satan,Satan
Sawmill Worker,Sawmill
"Scott (""Clubhouses"")",
Scott Malkinson,Scott
Scott Tenorman,Scott
Scuzzlebutt,Scuzzlebutt
Security Guard,Security
Selena Gomez,Selena
Senior AIDS Researcher,Senior AIDS Researcher
Sharon Marsh,Sharon
Sheila Broflovski,Sheila
Shelley Marsh,Shelley
Sia,Sia
Sid,Sid
Sir John Harington,Sir John Harington
Sister Anne,Sister
Skeeter,Skeeter
Skyler Morse,Skyler
Slash,Slash
Slaughterhouse,Slaughterhouse
Snooki,Snooki
Somali Pirates,Somali
Sony President,Sony
Sounderoos,Sounderoos
South Park Crime Unit,South Park Crime Unit
South Park Vampire Society,South Park Vampire Society
Sparky,Sparky
Spinny Mountain Records Producer,Spinny Mountain Records Producer
Spookyfish,Spookyfish
Stacy,Stacy
Starvin' Marvin,
Stephen Abootman,Stephen
Stephen Stotch,Stephen
Stephen Tamill's Friends,
Steve Black,Steve
"Steve (""Grounded Vindaloop"")",
Steve Irwin,Steve
Steve Jobs,Steve
Steven Seagal,Steven
Steven Spielberg,Steven
Storehand,Storehand
Stormtroopers,Stormtroopers
Stormy Weathers,Stormy
Streibel Daughters,Streibel
Strong Woman,Strong
Stuart McCormick,Stuart
Super Best Friends,Super Best Friends
Suzanne Somers,Suzanne
Syrian Refugee Children,Syrian Refugee Children
Talnua Cussler,Talnua
Tammy Warner,Tammy
Taylor Swift,Taylor
Teenager Boy with Brown Hair and Blue Shirt,Teenager Boy with Brown Hair and Blue Shirt
Terrance Mephesto,Terrance
Terrance and Phillip,Terrance and Phillip
Terry,Terry
"Thad (""Insecurity"")",
Theresa,Theresa
The 4th Grade,Grade
The 6th Graders,Graders
The 9th Graders,Graders
The Boys,Boys
The Burger King Bandits,Bandits
The Clitoris,Clitoris
The Coon (Character),
The Llama Brothers,Brothers
The Orange County Crew,Crew
The Orange County Crew Coach,Coach
The Other 4th Grade,Grade
The South Park Diggities,Diggities
The Ugly Kids,Kids
Thomas,Thomas
Thomas (Charlotte's Father),
Thomas Turner,Thomas
Thompson,Thompson
Thor,Thor
Thumper,Thumper
Tiger Woods,Tiger
Timmy Burch,Timmy
Tiny Miss Pageant Judges,Tiny Miss Pageant Judges
Toilet Safety Administration,Toilet Safety Administration
Tolkien Black,Tolkien
Tom Brady,Tom
Tom Brady Publicist,Tom Brady Publicist
Tom Cruise,Tom
Tom Foley,Tom
Tom Hanks,Tom
Tommy Edwards,Tommy
Tony Kornheiser,Tony
Toodee,Toodee
Tooth Decay,Tooth
Topher,Topher
Towelie,Towelie
Trent Boyett,Trent
