,term,idf
0,rattlesnakes,7.301822342137932
1,hoohoohoo,7.301822342137932
2,incidents,7.301822342137932
3,arose,7.301822342137932
4,extravagant,7.301822342137932
5,idly,7.301822342137932
6,weooh,7.301822342137932
7,patsy,7.301822342137932
8,bagels,7.301822342137932
9,desp,7.301822342137932
10,ovarian,7.301822342137932
11,hahahahahahahahaaa,7.301822342137932
12,utterly,7.301822342137932
13,poweerrrrr,7.301822342137932
14,dawning,7.301822342137932
15,naylon,7.301822342137932
16,ectoplasmic,7.301822342137932
17,liberate,7.301822342137932
18,1800,7.301822342137932
19,dickinson,7.301822342137932
20,snooping,7.301822342137932
21,schnell,7.301822342137932
22,lovental,7.301822342137932
23,lieben,7.301822342137932
24,menschen,7.301822342137932
25,werden,7.301822342137932
26,brüder,7.301822342137932
27,doktor,7.301822342137932
28,menchoss,7.301822342137932
29,zellan,7.301822342137932
30,vei,7.301822342137932
31,zamboa,7.301822342137932
32,wie,7.301822342137932
33,treu,7.301822342137932
34,deine,7.301822342137932
35,blätter,7.301822342137932
36,zur,7.301822342137932
37,sommerzeit,7.301822342137932
38,nein,7.301822342137932
39,auch,7.301822342137932
40,wenn,7.301822342137932
41,schneit,7.301822342137932
42,afro,7.301822342137932
43,butlutlutlutlup,7.301822342137932
44,payout,7.301822342137932
45,heisman,7.301822342137932
46,angelina,7.301822342137932
47,jolie,7.301822342137932
48,unwittingly,7.301822342137932
49,capsule,7.301822342137932
50,pov,7.301822342137932
51,grenades,7.301822342137932
52,foolhardy,7.301822342137932
53,weaponry,7.301822342137932
54,nastiest,7.301822342137932
55,airsofters,7.301822342137932
56,fps,7.301822342137932
57,شما,7.301822342137932
58,چیزی,7.301822342137932
59,فروشید,7.301822342137932
60,espies,7.301822342137932
61,espeaking,7.301822342137932
62,دیوث,7.301822342137932
63,americaaans,7.301822342137932
64,persident,7.301822342137932
65,roams,7.301822342137932
66,excelsior,7.301822342137932
67,pamphlet,7.301822342137932
68,hooves,7.301822342137932
69,skates,7.301822342137932
70,deposits,7.301822342137932
71,sulfur,7.301822342137932
72,odor,7.301822342137932
73,caves,7.301822342137932
74,manbearlike,7.301822342137932
75,molten,7.301822342137932
76,intangible,7.301822342137932
77,alain,7.301822342137932
78,imbeciles,7.301822342137932
79,msnbc,7.301822342137932
80,entities,7.301822342137932
81,annihilated,7.301822342137932
82,esa,7.301822342137932
83,madre,7.301822342137932
84,nunca,7.301822342137932
85,ver,7.301822342137932
86,padre,7.301822342137932
87,alto,7.301822342137932
